# Order,Wavelength
63,9461.0279
63,9474.8793
63,9497.1891
63,9561.2452
64,9383.2722
64,9399.0891
65,9194.6385
65,9203.9617
65,9266.2070
65,9276.2732
65,9291.5313
66,9063.9600
66,9075.3945
66,9094.8289
67,8892.9865
67,8895.8467
67,8962.1468
68,8771.8602
68,8775.5733
68,8792.0572
68,8799.0875
68,8804.5894
68,8841.1822
68,8868.8334
69,8678.4083
69,8709.2341
69,8748.0309
69,8758.2434
69,8761.6862
70,8539.7930
70,8554.9440
70,8573.1205
70,8605.7762
70,8620.4602
71,8416.7269
71,8421.2254
71,8464.2367
71,8478.3580
71,8490.3065
72,8320.8554
72,8330.4494
72,8384.7240
73,8159.7277
73,8186.9113
73,8252.3936
73,8275.6266
74,8053.3085
74,8075.6518
74,8093.6238
74,8129.4051
74,8143.1380
75,7972.5960
75,7978.9731
75,8032.4313
75,8046.1169
75,8053.3085
76,7847.5394
76,7891.0750
77,7788.9342
77,7817.7669
77,7847.5394
78,7647.3794
78,7658.3246
78,7670.0575
78,7678.1267
79,7567.7417
79,7589.3151
79,7647.3794
80,7471.1641
80,7481.3545
80,7484.3267
80,7510.4082
80,7525.5079
80,7549.3138
81,7353.2930
81,7392.9801
81,7425.2942
81,7435.3683
82,7284.9033
82,7311.7159
82,7316.0050
82,7328.2850
82,7350.8140
82,7353.2930
82,7372.1184
83,7200.0454
83,7206.9804
83,7212.6896
83,7218.0542
83,7244.6965
83,7265.1724
83,7284.9033
84,7107.4778
84,7124.5607
84,7150.2844
84,7158.8387
85,7018.5675
85,7030.2514
85,7045.7970
85,7060.6538
85,7084.1690
85,7107.4778
86,6937.6642
86,6943.6105
86,6960.2500
86,6989.6553
86,7000.8036
86,7018.5675
86,7030.2514
87,6861.2688
87,6871.2891
87,6888.1742
87,6911.2264
87,6937.6642
87,6943.6105
88,6778.3123
88,6791.2351
88,6824.6774
88,6829.0355
88,6834.9246
88,6861.2688
88,6871.2891
89,6727.4583
89,6752.8335
89,6766.6117
89,6778.3123
90,6638.2207
90,6643.6976
90,6658.6774
90,6662.2686
90,6666.3588
90,6674.6969
90,6677.2817
90,6684.2929
91,6577.2146
91,6583.9060
91,6588.5395
91,6591.4845
91,6593.9391
91,6619.9458
92,6490.7372
92,6512.3639
92,6522.0432
92,6531.3418
92,6554.1603
93,6411.8991
93,6416.3071
93,6437.7613
93,6457.2824
93,6483.0825
93,6490.7372
94,6342.8595
94,6348.7375
94,6355.9108
94,6371.9436
94,6376.9305
94,6384.7169
94,6387.3957
94,6411.8991
94,6413.6145
94,6416.3071
95,6296.8722
95,6307.6570
95,6315.7750
95,6327.2778
95,6337.6201
95,6342.8595
95,6346.1209
95,6348.7375
95,6355.9108
96,6207.2201
96,6224.5272
96,6234.8554
96,6243.1201
96,6257.4237
96,6261.4181
96,6274.1166
96,6296.8722
97,6151.9929
97,6164.4796
